도로명,사망자수,중상자수,경상자수,부상자수,사상자환산계수,사상자수,도로위험도,도로위험지수
가락마을6단지 602동 맞은편,0,5,11,0,0.6587999999999999,16,2.7452,27.452
내평지하차도 사거리,0,3,12,0,0.43199999999999994,15,2.3799999999999994,23.799999999999994
다빛초등학교 삼거리 (종촌동 585-6 ),0,7,27,0,1.0011999999999999,34,1.9875999999999998,19.875999999999998
대평동 264-30번지 사거리,0,5,11,1,0.6621,17,0.8265,8.265
번암사거리(번암리 161-1),0,2,11,0,0.3084,13,0.5,5.0
상리사거리(조천교 서단),0,1,13,0,0.2052,14,0.2868,2.868
새뜸마을 1011동 앞 로타리,0,3,7,1,0.4013,11,0.4829,4.829
성남중 앞 사거리,0,4,6,0,0.508,10,0.5352,5.352
성남중학교 네거리(어진동 222-33),0,5,10,3,0.6619,18,0.6786,6.786
세종세경아파트 앞 사거리,1,5,8,0,1.6384,14,1.7756,17.756
세종특별자치시 세종시 도담동 400 파란달교차로,0,6,4,0,0.728,10,1.0852,10.852
세종특별자치시 세종시 보듬4로 20 도램마을8단지 앞 비알티도로,1,6,11,2,1.7822,20,4.2074,42.074
세종특별자치시 세종시 보람동 664-70 해들마을6단지 앞 사거리,0,2,8,0,0.288,10,0.3152,3.1519999999999997
세종특별자치시 세종시 소담동 9-9 새샘교차로,0,7,10,0,0.8855999999999999,17,1.1736,11.736
세종특별자치시 세종시 연기면 세종리 114-88 호수공원 교차로,0,3,7,0,0.398,10,0.6859999999999999,6.859999999999999
세종특별자치시 세종시 한누리대로 219 국세청 앞 삼거리,0,2,6,0,0.2744,8,0.288,2.88
세종특별자치시 세종시 한누리대로 499 성금교차로,0,3,10,0,0.4184,13,0.432,4.32
세종플란트치과 앞 사거리,0,8,14,0,1.0296,22,2.1,21.0
소담교차로,0,5,11,0,0.6588,16,0.7132000000000001,7.132000000000001
신흥사거리(주공2단지앞),0,8,8,0,0.9888,16,1.0296,10.296000000000001
쌍국교 앞 사거리,0,4,9,0,0.5284,13,1.2415999999999998,12.415999999999999
역천교차로(조치원역앞),0,3,5,0,0.3844,8,0.3844,3.8440000000000003
연화휴먼시아 78단지 앞,0,4,8,0,0.5216,12,0.6724,6.724
욱일아파트 앞 사거리(113동),0,4,4,0,0.4944,8,0.508,5.08
지엘플렉스1 새샘6단지 후문 앞 교차로,0,4,8,0,0.5216000000000001,12,0.906,9.06
학성공원 앞 삼거리,0,5,5,0,0.618,10,0.7552,7.552
현대아파트 부근 사거리(북쪽),0,8,7,0,0.982,15,1.7372,17.372
현대자동차 세종청사지점 앞 교차로,0,6,15,0,0.8028,21,1.0908,10.908
